address
Jl. Rajawali Selatan Raya No 3
Jl. Raya Taman Mini Indonesia Indah Pintu 1
"Jl. Antara 59, Pasar Baru, Sawah Besar"
"Jl. Medan Merdeka Timur No. 14, Gambir, RT.6/RW.1, Gambir"
"Jl. Tugu Monas, Gambir"
"Jl. Raya Pondok Gede RT.4/RW.12, Lubang Buaya, Cipayung"
"Jl. Salemba Raya No.12, RT.2/RW.6, Kenari, Senen"
"Jl. Batan 1/2 Lebak Bulus, Cilandak, Jakarta Selatan"
"Gedung Klara Asisi Lantai 2, Fakultas Kedokteran Universitas Atma Jaya, Jl. Pluit Raya No. 2"
"Taman Mini Indonesia Indah, Jl. Raya Taman Mini"
"Jl. Ps. Ikan No.1, Penjaringan"
"Jl. Pintu Besar Utara No.3, Pinangsia, Tamansari"
"Jl. Gajah Mada No.1, RT.2/RW.8, Petojo Utara, Gambir"
Jl. Keuangan Raya No. 19 Cilandak Barat
"Jl. Raya Rawa Sengon No. 35 RT.001 / RW.022, Kelapa Gading Barat, Kelapa Gading"
"Jl. Lada No.1, Kota Tua, Pinangsia, Tamansari"
"Jl. Prof. DR. Satrio Kav. 3-5, Ciputra World 1, Retail Podium Level 11-13, Kuningan"
"Jl. Merdeka Timur No.3, RT.2/RW.1, Gambir"
"Jl. Kemang Timur Raya No.66, RT.7/RW.3, Bangka, Mampang Prapatan"
"Gedung Nusantara Lantai 2 Komp. MPR, DPR, DPD RI Jl. Jenderal Gatot Subroto, Senayan"
"Jl. Salemba Raya No. 6, Kenari, Senen"
"Jl. Cilandak Tengah No.71, RT.2/RW.13, Cilandak Barat, Cilandak"
"Jl. Teuku Umar No.40, RT.1/RW.1, Gondangdia, Menteng"
"Jl. Menteng Raya No.31, RT.01/RW.10 Kebon Sirih, Menteng"
"Gereja Katedral, Jl. Katedral No.7B"
Jl. Abdul Rachman Saleh No.26 RT.4/RW. 5 Senen
"Kompleks Manggala Wanabakti, RT.01/03, Gelora, Tanahabang"
Jl. Kwini No. 6 Senin
"Jl. H. Kamang No.38, RT.8/RW.10, Pondok Labu, Cilandak"
"AKR Tower Level M, Jl. Panjang No. 5 Kebon Jeruk"
Jl. Lapangan Stasiun No.1
"Jl. Kenari 2 No.15, RW.4, Kenari, Senen"
"Jl. Medan Merdeka Barat No. 12, Gambir"
"Jl. Imam Bonjol No. 1, Menteng"
"Jl. Trunojoyo 3, Kebayoran Baru"
"Jl. Tanah Abang I No.1, RT.11/RW.8, Petojo Selatan, Gambir"
"Jl. Ir. H. Juanda No.29, RT.14/RW.4, Kel. Kebon Kelapa, Kec. Gambir"
"Jl. Lembang No.67, RT.11/Rw.7, Menteng"
"Jl. Gatot Subroto No.14, RT.6/RW.1, Kuningan Barat, Mampang Prapatan"
"Jl. Taman Fatahillah No.1, Kota Tua, Pinangsia, Tamansar"
Jl. Pos Kota No. 2
Jl. Kramat Raya No. 106
Jl. K.S Tubun No.2-4
"Jl. Kyai Tapa No.1, RT.6/RW.16, Tomang, Grogol Petamburan"
Jl. Pintu Besar Utara No.27
