name,schedule_name_1,open_1,closed_1,schedule_1
Art: 1 New Museum,,10:00,20:00,Selasa
Art: 1 New Museum,,10:00,20:00,Rabu
Art: 1 New Museum,,10:00,20:00,Kamis
Art: 1 New Museum,,10:00,20:00,Jumat
Art: 1 New Museum,,10:00,20:00,Sabtu
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Selasa
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Rabu
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Kamis
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Jumat
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Sabtu
Bayt Al-Qur’an dan Museum Istiqlal,,08:30,15:00,Minggu
Galeri Foto Jurnalistik Antara,,10:00,20:00,Selasa
Galeri Foto Jurnalistik Antara,,10:00,20:00,Rabu
Galeri Foto Jurnalistik Antara,,10:00,20:00,Kamis
Galeri Foto Jurnalistik Antara,,10:00,20:00,Jumat
Galeri Foto Jurnalistik Antara,,10:00,20:00,Sabtu
Galeri Foto Jurnalistik Antara,,10:00,20:00,Minggu
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Selasa
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Rabu
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Kamis
Galeri Nasional Indonesia,Pameran Tetap,09:00,16:00,Jumat
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Selasa
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Rabu
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Kamis
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Jumat
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Sabtu
Monumen Nasional,Pelataran Puncak Sesi 1,08:00,16:00,Minggu
Monumen Pancasila Sakti,,08:00,16:00,Selasa
Monumen Pancasila Sakti,,08:00,16:00,Rabu
Monumen Pancasila Sakti,,08:00,16:00,Kamis
Monumen Pancasila Sakti,,08:00,16:00,Jumat
Monumen Pancasila Sakti,,08:00,16:00,Sabtu
Monumen Pancasila Sakti,,08:00,16:00,Minggu
Museum Alkitab,,08:00,16:00,Senin
